Campaign,Browser,Device Type,Operating System,Supply Vendor,User Hour Of Week,Partner Cost (USD),01 - Total Click + View Conversions
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,brightroll exchange display,16,1.088598295,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,brightroll exchange display,17,1.07210205,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,0,1.197849092,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,10,1.082104018,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,11,1.170652661,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,12,1.029751576,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,13,1.107383047,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,14,1.113614927,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,15,1.029722039,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,16,1.21839431,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,17,1.219866032,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,18,1.311314825,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,19,1.346218313,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,20,1.414397629,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,21,1.840605292,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,22,2.226946881,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,23,2.409852329,19
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,24,1.301058225,8
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,31,1.128017053,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,32,1.264990479,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,33,1.221267805,16
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,34,1.15940006,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,35,1.253981518,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,36,1.478553966,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,37,1.71527203,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,38,1.443676188,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,39,1.368585774,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,40,1.327036193,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,41,1.502519493,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,42,1.760480136,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,43,1.87270538,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,44,1.652741447,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,45,2.097029439,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,46,2.636667914,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,47,2.539588643,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,48,1.164195845,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,55,1.595697025,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,56,1.226949022,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,57,1.140778262,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,58,1.170037818,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,59,1.239194464,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,60,1.377509926,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,61,1.537678823,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,62,1.354247182,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,63,1.286483539,8
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,64,1.252258743,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,65,1.505861794,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,66,2.04208506,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,67,2.021462021,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,68,1.881329231,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,69,2.423560591,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,70,2.77970157,12
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,71,2.435893872,16
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,72,1.221559323,11
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,79,1.33406872,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,80,1.443791216,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,81,1.291680483,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,82,1.22518667,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,83,1.243502156,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,84,1.480505751,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,85,1.540108304,8
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,86,1.288109745,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,87,1.361123698,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,88,1.235018991,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,89,1.412716783,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,90,1.900917303,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,91,2.08338318,13
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,92,2.114689387,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,93,2.824892565,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,94,3.160022365,11
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,95,2.797639134,24
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,96,1.369772561,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,103,1.787143068,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,104,1.801484882,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,105,1.529787495,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,106,1.392550596,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,107,1.441879085,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,108,1.586451988,9
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,109,1.387135589,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,110,1.250070616,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,111,1.090202465,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,112,1.170654878,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,113,1.284545734,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,114,1.519373062,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,115,1.677876502,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,116,1.677660467,11
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,117,1.522717711,12
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,118,1.826096039,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,119,1.715664347,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,120,1.000926832,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,127,1.164358252,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,128,1.277779231,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,129,1.03384119,24
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,132,1.116337428,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,133,1.033763683,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,134,1.01026052,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,137,1.110328576,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,138,1.320305527,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,139,1.284547091,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,140,1.22638093,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,141,1.399564715,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,142,1.623716252,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,143,1.842611592,13
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,144,1.060599035,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,152,1.01937874,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,153,1.118825685,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,154,1.172035225,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,155,1.101843137,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,156,1.154080759,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,157,1.241458307,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,158,1.142809481,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,159,1.130696881,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,160,1.055019112,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,161,1.135353392,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,162,1.268303549,19
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,163,1.131666039,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,164,1.273527763,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,165,1.562219095,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,166,1.794812212,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,google,167,1.946257834,9
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,0,1.169655312,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,10,1.031416081,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,11,1.202393023,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,14,1.043255091,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,21,1.177771969,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,22,1.329555293,9
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,23,1.531819776,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,24,1.143230386,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,32,1.113564206,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,35,1.026869281,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,36,1.149176272,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,38,1.069368101,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,39,1.202202363,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,40,1.034343798,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,41,1.077072135,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,42,1.202275662,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,43,1.273182611,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,44,1.019268818,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,45,1.446509663,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,46,1.70748933,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,47,1.667725195,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,48,1.042257271,7
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,55,1.113697539,11
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,62,1.018928808,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,64,1.038003224,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,65,1.032554739,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,66,1.250275266,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,67,1.127071294,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,68,1.14858149,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,69,1.298310473,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,70,1.611613176,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,71,1.681833692,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,72,1.003654814,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,80,1.013446479,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,90,1.033796243,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,91,1.254194531,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,92,1.167384634,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,93,1.411722275,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,94,1.648905086,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,95,1.658272612,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,96,1.078010889,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,103,1.04637636,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,104,1.203186412,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,105,1.091393319,11
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,106,1.026537856,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,114,1.156453242,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,115,1.010186507,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,153,1.018164133,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,166,1.207258888,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,gumgum,167,1.42590512,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,0,1.207931094,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,8,1.071494548,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,9,1.182550618,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,10,1.179768799,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,11,1.260634164,10
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,12,1.294872217,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,13,1.137407946,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,14,1.283089394,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,15,1.16605137,8
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,16,1.186144924,3
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,17,1.338702533,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,18,1.237658837,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,19,1.342424823,4
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,20,1.351571649,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,21,1.633381691,1
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,22,1.783904588,5
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,23,2.100410628,2
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,24,1.256712834,0
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,31,1.115049812,6
XHK19-0397_Triumph Singapore Q4 2019 Campaign on Xaxis Audience_Anniversary_01119162,Chrome,Mobile,Other,index exchange,32,1.335280782,1
